Title,Author,PublicationYear,Publisher,YearPublished
Refactoring,Martin Fowler,1997,Random House,2000
The Pragmatic Programmer,Andrew Hunt,1998,Penguin,2003
Head First Design Patterns,Eric Freeman,2005,HarperCollins,2019
The Clean Coder,Kent Beck,1990,Penguin,2002
Domain-Driven Design,Eric Evans,1990,Macmillan,1995
Refactoring,Martin Fowler,1989,Macmillan,2003
Code Complete,Steve McConnell,1988,Macmillan,2010
Refactoring,Martin Fowler,1988,Macmillan,2013
The Pragmatic Programmer,Andrew Hunt,2023,Random House,2022
Design Patterns,Erich Gamma,2011,Macmillan,2004
Clean Code,Robert C. Martin,2010,Penguin,2019
The Pragmatic Programmer,Andrew Hunt,1987,HarperCollins,1994
Head First Design Patterns,Eric Freeman,2001,Macmillan,2024
The Pragmatic Programmer,Andrew Hunt,2004,Oxford Press,2009
The Mythical Man-Month,Frederick P. Brooks Jr.,2005,HarperCollins,2009
Design Patterns,Erich Gamma,2000,HarperCollins,1994
The Clean Coder,Kent Beck,2016,Oxford Press,2018
Design Patterns,Erich Gamma,1989,Penguin,2014
The Pragmatic Programmer,Andrew Hunt,2011,HarperCollins,2011
Working Effectively with Legacy Code,Michael Feathers,2011,Macmillan,2003
Domain-Driven Design,Eric Evans,2021,Macmillan,1994
Working Effectively with Legacy Code,Michael Feathers,2007,Macmillan,2022
Head First Design Patterns,Eric Freeman,2024,Random House,2007
Clean Code,Robert C. Martin,1984,Penguin,1994
The Clean Coder,Kent Beck,1997,Oxford Press,2016
Domain-Driven Design,Eric Evans,1988,Oxford Press,2018
Design Patterns,Erich Gamma,2016,Random House,2013
Domain-Driven Design,Eric Evans,2002,Macmillan,1994
Design Patterns,Erich Gamma,1981,Random House,2015
Clean Code,Robert C. Martin,1995,Macmillan,2024
Code Complete,Steve McConnell,1983,Oxford Press,1997
Refactoring,Martin Fowler,2023,Macmillan,2015
The Clean Coder,Kent Beck,1997,Penguin,2015
